Captcha_Name,Captcha_Url,Captch_Image_View,Captcha_Answer
sleep1706516347950.png,https://raw.githubusercontent.com/maniotrix/Sample_Captcha_Data/main/rsce_sample_captcha_batches/_start_5000/sleep1706516347950.png,,m854m
sleep1706516357287.png,https://raw.githubusercontent.com/maniotrix/Sample_Captcha_Data/main/rsce_sample_captcha_batches/_start_5000/sleep1706516357287.png,,45yhg
sleep1706516371003.png,https://raw.githubusercontent.com/maniotrix/Sample_Captcha_Data/main/rsce_sample_captcha_batches/_start_5000/sleep1706516371003.png,,e24nn
sleep1706516377005.png,https://raw.githubusercontent.com/maniotrix/Sample_Captcha_Data/main/rsce_sample_captcha_batches/_start_5000/sleep1706516377005.png,,fkafy
sleep1706516383008.png,https://raw.githubusercontent.com/maniotrix/Sample_Captcha_Data/main/rsce_sample_captcha_batches/_start_5000/sleep1706516383008.png,,fpnke
sleep1706516389012.png,https://raw.githubusercontent.com/maniotrix/Sample_Captcha_Data/main/rsce_sample_captcha_batches/_start_5000/sleep1706516389012.png,,emker
sleep1706516395015.png,https://raw.githubusercontent.com/maniotrix/Sample_Captcha_Data/main/rsce_sample_captcha_batches/_start_5000/sleep1706516395015.png,,n5d8k
sleep1706516401326.png,https://raw.githubusercontent.com/maniotrix/Sample_Captcha_Data/main/rsce_sample_captcha_batches/_start_5000/sleep1706516401326.png,,pe7cw
sleep1706516408656.png,https://raw.githubusercontent.com/maniotrix/Sample_Captcha_Data/main/rsce_sample_captcha_batches/_start_5000/sleep1706516408656.png,,wd367
sleep1706516416959.png,https://raw.githubusercontent.com/maniotrix/Sample_Captcha_Data/main/rsce_sample_captcha_batches/_start_5000/sleep1706516416959.png,,xfybh
sleep1706516426287.png,https://raw.githubusercontent.com/maniotrix/Sample_Captcha_Data/main/rsce_sample_captcha_batches/_start_5000/sleep1706516426287.png,,nb4bb
sleep1706516439947.png,https://raw.githubusercontent.com/maniotrix/Sample_Captcha_Data/main/rsce_sample_captcha_batches/_start_5000/sleep1706516439947.png,,kknnp
sleep1706516445951.png,https://raw.githubusercontent.com/maniotrix/Sample_Captcha_Data/main/rsce_sample_captcha_batches/_start_5000/sleep1706516445951.png,,cwxd4
sleep1706516451953.png,https://raw.githubusercontent.com/maniotrix/Sample_Captcha_Data/main/rsce_sample_captcha_batches/_start_5000/sleep1706516451953.png,,w2ef7
